DateTime,Humidity,Temperature,Temperature_range (low),Temperature_range (high)
10/9/2016 0:00,54,21.93,21,22.8
10/10/2016 0:00,52,21.77,20.4,23.6
10/11/2016 0:00,51,21.36,19.9,23
10/12/2016 0:00,51,21.44,20,23.6
10/13/2016 0:00,52,21.22,20.1,22.3
10/14/2016 0:00,52,21.02,19.6,22.6
10/15/2016 0:00,53,21.4,20.3,22.5
10/16/2016 0:00,53,21.43,20,23
10/17/2016 0:00,53,21.67,20.5,22.7
10/18/2016 0:00,54,21.75,20.6,23.1
10/19/2016 0:00,53,21.22,20.2,22.7
10/20/2016 0:00,52,21.25,20.2,22.8
10/21/2016 0:00,50,21.09,19.4,23.1
10/22/2016 0:00,49,20.86,19.5,22.5
10/23/2016 0:00,49,20.51,19,22.2
10/24/2016 0:00,49,20.38,19.1,22.3
10/25/2016 0:00,50,20.8,19.7,22.3
10/26/2016 0:00,50,21.14,20,s
10/27/2016 0:00,50,21.15,20.1,22.5
10/28/2016 0:00,51,21.57,20.6,"hello, mom!"
10/29/2016 0:00,52,%,21,22.9
10/30/2016 0:00,52,21.88,21,22.9
10/31/2016 0:00,53,21.72,20.7,22.8
11/1/2016 0:00,52,21.53,20.2,ss
11/2/2016 0:00,50,21.11,19.8,22.6
11/3/2016 0:00,49,20.31,18.7,22.4
,50,20.76,19.4,23.1
11/5/2016 0:00,50,20.14,18.5,22.4
11/6/2016 0:00,50,19.4,17.5,22.3
11/7/2016 0:00,48,19.58,17.8,22.3
11/8/2016 0:00,47,19.31,17.6,22
11/9/2016 0:00,48,19.78,18.3,22
11/10/2016 0:00,47,20.3,19,22.3
11/11/2016 0:00,47,20.28,18.9,22.6
,47,20.83,19.6,22.4
11/13/2016 0:00,48,21,20,22.6
11/14/2016 0:00,48,20.95,19.9,22.5
11/15/2016 0:00,49,21.64,20.8,22.6
11/16/2016 0:00,50,21.7,20.6,22.6
11/17/2016 0:00,49,20.98,19.7,22
11/18/2016 0:00,48,20.07,18.5,22
11/19/2016 0:00,47,19.35,17.5,21.8
11/20/2016 0:00,47,19.12,17.7,21.4
11/21/2016 0:00,47,19.43,17.8,a
,47,19.94,18.3,21.8
11/23/2016 0:00,47,19.96,18.2,22
11/24/2016 0:00,48,20.16,18.5,22
,49,19.83,18.4,21.6
11/26/2016 0:00,48,19.69,18.1,22.3
11/27/2016 0:00,48,19.39,17.6,21.5
11/28/2016 0:00,48,20.27,17.9,23.1
11/29/2016 0:00,47,18.72,16.3,22.4
11/30/2016 0:00,44,18.11,14.9,21.4
12/1/2016 0:00,41,18.04,15.6,19.7
12/2/2016 0:00,41,18.58,16.1,21.6
12/3/2016 0:00,42,18.86,17.5,21
12/4/2016 0:00,42,18.68,16.9,20.7
12/5/2016 0:00,42,18.83,16.8,21.3
12/6/2016 0:00,42,19.24,18,21.6
12/7/2016 0:00,45,20.16,19,d
,47,20.87,20,22
,48,21.18,20.4,22.2
,49,20.92,20.2,22
,49,19.99,19,21.6
,49,19.1,17.8,21.2
,49,,18.7,21.8
,49,20.44,19.3,21.6
,50,20.48,19.2,22.3
,50,21.24,19.5,24.8
,48,23.57,19.8,25.2
,48,21.12,19.1,23
,47,20.16,18.2,22.1
12/21/2016 0:00,47,20.07,18.9,22.2
12/22/2016 0:00,47,19.56,17.6,21.7
12/23/2016 0:00,47,18.88,17.1,a
12/24/2016 0:00,47,19.15,17.3,21.7
12/25/2016 0:00,47,19.77,18.4,22
12/26/2016 0:00,48,19.61,*,21.7
12/27/2016 0:00,45,m,17.2,21.3
12/28/2016 0:00,43,18.48,16.1,21.2
12/29/2016 0:00,41,18.74,16.1,21.4
12/30/2016 0:00,42,18.48,16.4,21.1
12/31/2016 0:00,44,19.14,17.2,22.1
1/1/2017 0:00,45,19.32,17.7,21.4
1/2/2017 0:00,46,18.76,16.9,21.4
1/3/2017 0:00,45,18.64,16.5,21.5
1/4/2017 0:00,43,18.52,16.3,21.5
1/5/2017 0:00,43,18.48,16.5,21.2
1/6/2017 0:00,41,18.6,16.2,21.7
1/7/2017 0:00,44,19.38,18,22
1/8/2017 0:00,45,20.13,18.9,22.1
1/9/2017 0:00,47,20.07,18.3,23.2
1/10/2017 0:00,45,,17.6,22.8
1/11/2017 0:00,46,,18,22.9
1/12/2017 0:00,45,,17.6,22.8
1/13/2017 0:00,43,,17.1,22.1
1/14/2017 0:00,42,18.89,16.3,23
1/15/2017 0:00,43,19.41,17.4,23.2
1/16/2017 0:00,45,20.09,18.1,23.4
1/17/2017 0:00,45,19.84,17.5,23
1/18/2017 0:00,45,19.61,17.8,23.2
1/19/2017 0:00,43,19.61,17.4,23.4
1/20/2017 0:00,42,19.43,17.3,23
1/21/2017 0:00,40,19.3,16.6,22.9
1/22/2017 0:00,39,20.45,18.1,23.3
1/23/2017 0:00,39,20.55,18.2,23.3
1/24/2017 0:00,39,19.92,17.7,23.8
1/25/2017 0:00,39,21.08,17.8,24.7
1/26/2017 0:00,38,19.9,18.1,22.8
1/27/2017 0:00,37,19.15,16.8,23.2
1/28/2017 0:00,39,19.87,18.1,22.7
1/29/2017 0:00,39,19.53,17.9,22.2
1/30/2017 0:00,42,19.89,18.1,23
1/31/2017 0:00,43,20.3,18.7,23.3
2/1/2017 0:00,45,20.62,19.1,23.3
2/2/2017 0:00,46,20.73,19.4,23.1
2/3/2017 0:00,46,20.23,18.8,22.6
2/4/2017 0:00,45,19.83,18,22.5
2/5/2017 0:00,43,19.39,17.8,22.7
2/6/2017 0:00,42,19.13,17.3,22.3
2/7/2017 0:00,43,19.73,17.9,22.2
2/8/2017 0:00,43,19.76,18.2,22.8
2/9/2017 0:00,42,19.14,17.8,22.4
2/10/2017 0:00,40,18.9,16.8,22.5
2/11/2017 0:00,39,18.96,16.5,22.7
2/12/2017 0:00,38,19.73,16.8,23.2
2/13/2017 0:00,38,19.99,18.2,23.4
2/14/2017 0:00,39,19.81,18.1,23.2
2/15/2017 0:00,41,22.07,20,24.3
2/16/2017 0:00,42,20.95,19.4,23.4
2/17/2017 0:00,43,21.1,19.8,23.4
2/18/2017 0:00,43,20.73,19.5,22.5
